starttime	seconds	ctime	dtime	ttime	wait
Fri May 01 15:50:29 2015	1430491829	18	22	41	22
Fri May 01 15:50:44 2015	1430491844	19	21	41	21
Fri May 01 15:50:38 2015	1430491838	20	21	41	21
Fri May 01 15:50:25 2015	1430491825	16	24	41	24
Fri May 01 15:50:23 2015	1430491823	19	22	41	22
Fri May 01 15:50:35 2015	1430491835	17	23	41	23
Fri May 01 15:50:15 2015	1430491815	21	20	41	20
Fri May 01 15:50:28 2015	1430491828	15	25	41	25
Fri May 01 15:50:13 2015	1430491813	15	26	41	26
Fri May 01 15:50:42 2015	1430491842	18	22	41	22
Fri May 01 15:50:15 2015	1430491815	18	22	41	22
Fri May 01 15:50:15 2015	1430491815	22	19	41	19
Fri May 01 15:50:35 2015	1430491835	18	22	41	22
Fri May 01 15:50:38 2015	1430491838	20	20	41	20
Fri May 01 15:50:44 2015	1430491844	16	24	41	24
Fri May 01 15:50:14 2015	1430491814	21	20	41	19
Fri May 01 15:50:33 2015	1430491833	18	23	41	22
Fri May 01 15:50:34 2015	1430491834	17	23	41	23
Fri May 01 15:50:24 2015	1430491824	18	23	41	23
Fri May 01 15:50:36 2015	1430491836	17	23	41	23
Fri May 01 15:50:46 2015	1430491846	20	20	41	20
Fri May 01 15:50:48 2015	1430491848	15	26	41	26
Fri May 01 15:50:46 2015	1430491846	17	23	41	23
Fri May 01 15:50:10 2015	1430491810	19	22	41	22
Fri May 01 15:50:46 2015	1430491846	21	19	41	19
Fri May 01 15:50:25 2015	1430491825	14	26	41	26
Fri May 01 15:50:33 2015	1430491833	18	23	41	23
Fri May 01 15:50:42 2015	1430491842	23	18	41	18
Fri May 01 15:50:35 2015	1430491835	17	23	41	23
Fri May 01 15:50:42 2015	1430491842	20	20	41	20
Fri May 01 15:50:36 2015	1430491836	17	23	41	23
Fri May 01 15:50:20 2015	1430491820	23	18	41	18
Fri May 01 15:50:25 2015	1430491825	21	20	41	20
Fri May 01 15:50:45 2015	1430491845	18	23	41	23
Fri May 01 15:50:46 2015	1430491846	20	21	41	21
Fri May 01 15:50:32 2015	1430491832	22	18	41	18
Fri May 01 15:50:29 2015	1430491829	18	23	41	23
Fri May 01 15:50:12 2015	1430491812	19	22	41	22
Fri May 01 15:50:44 2015	1430491844	21	20	41	20
Fri May 01 15:50:33 2015	1430491833	16	25	41	25
